#ID	Nom	Frequence	Moyen	Utilisation
ETN	ETAIN ROUVRES	410 Khz	L	A
EVX	EVREUX FAUVILLE	112.4 Mhz CH71X	VORTAC	AE
EVX	EVREUX FAUVILLE	111.3 Mhz	ILS	A
FA	FIGARI SUD CORSE	325 Khz	L	A
FC	FIGEAC LIVERNON	395 Khz	L	A
FG	MONTPELLIER MEDITERRANEE	339 Khz	L	A
FG	MONTPELLIER MEDITERRANEE	108.55 Mhz CH22Y	ILS--DME	A
FGI	FIGARI SUD CORSE	116.7 Mhz CH114X	VOR--DME	A
FJR	MONTPELLIER MEDITERRANEE	114.45 Mhz CH91Y	VOR--DME	E
FJR	frejorgues	114.45 Mhz CH91Y	VOR--DME	E
GA	GAP TALLARD	297 Khz	L	A
GAI	GAILLAC--Castelnau de Montmirail	115.8 Mhz	VOR	AE
GAU	PARIS CHARLES DE GAULLE	109.1 Mhz	ILS	A
GI	AMIENS--GLISY	339 Khz	L	A
GL	NANTES ATLANTIQUE	369 Khz	NDB	A
GLE	PARIS CHARLES DE GAULLE	108.7 Mhz	ILS	A
GR	FIGARI SUD CORSE	110.5 Mhz CH42X	ILS--DME	A
GSG	GUISCRIFF SCAER	395 Khz	L	A
GTQ	GROSTENQUIN	111.25 Mhz CH49Y	VOR--DME	AE
GU	BREST BRETAGNE	338 Khz	L	A
HO	COLMAR HOUSSEN	380 Khz	L	A
HO	COLMAR HOUSSEN	110.7 Mhz	ILS	A
HOL	VILLACOUBLAY VELIZY	315 Khz	NDB	A
HR	HERICOURT	289 Khz	NDB	AE
HY	HYERES LE PALYVESTRE	108.1 Mhz CH18X	ILS--DME	A
HYE	HYERES LE PALYVESTRE	109 Mhz CH27X	TACAN	E
ING	SAINT INGLEVERT	387 Khz	NDB	E
IS	AJACCIO NAPOLEON BONAPARTE	341 Khz	NDB	A
ITR	ISTRES LE TUBE	390.5 Khz	NDB	A
ITR	ISTRES LE TUBE	115.7 Mhz CH104X	TACAN	E
LA	LAVAL ENTRAMMES	401 Khz	L	A
LBG	PARIS LE BOURGET	109.5 Mhz CH32X	ILS--DME	A
LBO	LYON BRON	109.95 Mhz CH36Y	ILS--DME	A
LBW	PARIS LE BOURGET	111.1 Mhz	ILS	A
LC	LE LUC LE CANNET	109.3 Mhz CH30X	ILS--DME	A
LCA	LA CHATRE	112.1 Mhz	VOR	E
LD	LANDIVISIAU	108.5 Mhz CH22X	ILS--DME	A
LDV	LANDIVISIAU	115.15 Mhz CH98Y	TACAN	E
LEM	LE MANS ARNAGE	109.75 Mhz CH34Y	ILS--DME	A
LEQ	LILLE LESQUIN	109 Mhz CH27X	VOR--DME	AE
LG	LIMOGES BELLEGARDE	110.1 Mhz CH38X	ILS--DME	A
LGL	L' AIGLE	115 Mhz	VOR	E
LHO	LE HAVRE OCTEVILLE	346 Khz	L	A
LIL	LILLE LESQUIN	110.75 Mhz CH44Y	ILS--DME	A
LL	LILLE LESQUIN	332 Khz	L	A
LM	LE MANS ARNAGE	326 Khz	L	A
LMG	LIMOGES	114.5 Mhz CH92X	VOR--DME	E
LMT	AUCH LAMOTHE	420 Khz	L	A
LN	LANNION	345 Khz	L	AE
LN	LANNION	110.35 Mhz CH40Y	ILS--DME	A
LOE	LIMOGES BELLEGARDE	424 Khz	L	A
LOR	LORIENT LANN BIHOUE	359 Khz	NDB	A
LOR	LORIENT LANN BIHOUE	115.8 Mhz CH105X	TACAN	E
LOU	METZ NANCY LORRAINE	388 Khz	L	A
LP	CHOLET LE PONTREAU	357 Khz	L	A
LPD	MONTLUCON GUERET	398 Khz	L	A
LRY	LA ROCHE SUR YON LES AJONCS	111.9 Mhz CH56X	ILS--DME	A
LSE	LYON SAINT EXUPERY	114.75 Mhz CH94Y	VOR--DME	AE
LSN	LYON SAINT EXUPERY	111.5 Mhz CH52X	ILS--DME	A
LSS	LYON SAINT EXUPERY	109.1 Mhz CH28X	ILS--DME	A
LSU	LIMOGES BELLEGARDE	320 Khz	L	A
LT	LE TOUQUET PARIS PLAGE	358 Khz	L	A
LT	LE TOUQUET PARIS PLAGE	110.15 Mhz CH38Y	ILS--DME	A
LTP	LA TOUR DU PIN--Lyon Est	115.55 Mhz CH102Y	VOR--DME	AE
LU	LE LUC LE CANNET	378 Khz	NDB	A
LUC	LE LUC LE CANNET	113 Mhz CH77X	VOR--DME	E
LUL	LUXEUIL	117.1 Mhz	VOR	E
LXI	LUXEUIL SAINT SAUVEUR	363.5 Khz	NDB	A
LXI	LUXEUIL SAINT SAUVEUR	108.2 Mhz CH19X	TACAN	E
LXI	LUXEUIL SAINT SAUVEUR	108.1 Mhz	ILS	A
LY	LYON BRON	111.3 Mhz CH50X	ILS--DME	A
LYS	LYON SAINT EXUPERY	405 Khz	L	A
MAR	MARSEILLE PROVENCE	383 Khz	NDB	A
MB	MONTBELIARD COURCELLES	330 Khz	L	A
MBY	MOULINS MONTBEUGNY	109.6 Mhz	VOR	A
MC	MONTLUCON DOMERAT	335 Khz	NDB	AE
MCE	MARSEILLE PROVENCE	108.3 Mhz CH20X	ILS--DME	A
MCY	ETAIN ROUVRES	110.5 Mhz CH42X	ILS--DME	A
MD	MENDE BRENOUX	111.9 Mhz CH56X	ILS--DME	A
MDM	MONT DE MARSAN	108.7 Mhz CH24X	TACAN	A
MDM	MONT DE MARSAN	110.5 Mhz	ILS	A
MEN	MENDE--Nasbinals	115.3 Mhz CH100X	VOR--DME	AE
MER	MERVILLE CALONNE	109.35 Mhz CH30Y	ILS--DME	A
MET	METZ FRESCATY	108 Mhz CH17X	TACAN	E
MH	BALE--MULHOUSE	111.55 Mhz CH52Y	ILS--DME	A
MI	EPINAL MIRECOURT	110.9 Mhz	ILS	A
MIL	MILLAU LARZAC	315 Khz	L	A
MJ	MARSEILLE PROVENCE	406 Khz	NDB	E
MK	CALAIS DUNKERQUE	418 Khz	L	A
MK	CALAIS DUNKERQUE	110.55 Mhz CH42Y	ILS--DME	A
